ave_spindle,std_spindle,max_spindle,min_spindle,median_spindle,rmse_spindle,pp_spindle,hdiff_spindle,fdiff_spindle,ave_x,std_x,max_x,min_x,median_x,rmse_x,pp_x,hdiff_x,fdiff_x,ave_y,std_y,max_y,min_y,median_y,rmse_y,pp_y,hdiff_y,fdiff_y,ave_z,std_z,max_z,min_z,median_z,rmse_z,pp_z,hdiff_z,fdiff_z
0.91408,2.75944,36.54592,0,0.03357,2.9069,36.54592,4.44044,0.04273,-356.15588,285.26778,-20.9572,-750.8516,-507.2719,456.31647,729.8944,702.2757,519.7006,44.52806,53.80685,109.3497,-17.6915,51.0667,69.84214,729.8944,127.0412,118.0311,-208.56348,136.55363,0,-413.8196,-234.4,249.29023,413.8196,323.5052,224.8732
13.33134,3.38385,24.00586,4.54726,13.32438,13.75409,19.4586,7.62658,3.98572,-737.6767,111.61183,-557.5252,-922.3432,-749.0046,746.07246,364.818,287.8959,208.19665,115.59029,153.36585,358.4367,-139.7338,107.0932,192.04739,364.818,412.9346,294.0478,-416.32,0,-416.32,-416.32,-416.32,416.32,0,0,0
13.70167,3.45971,24.5735,4.59304,13.39457,14.13171,19.98047,8.74966,4.91348,-737.85632,126.96932,-557.4181,-936.3383,-745.2498,748.70098,378.9202,330.5178,245.2133,105.07138,167.35281,372.4537,-153.7543,80.296,197.60303,378.9202,448.3232,325.2043,-421.72,0,-421.72,-421.72,-421.72,421.72,0,0,0
13.35515,3.2531,25.38224,4.51064,13.17179,13.74564,20.87161,7.01315,4.18103,-736.88925,111.509,-558.0476,-922.2008,-749.0601,745.27848,364.1532,292.3225,211.5584,114.6873,153.48781,358.3647,-139.6645,105.8575,191.60293,364.1532,413.71742,294.6023,-423.52,0,-423.52,-423.52,-423.52,423.52,0,0,0
13.85103,3.59753,25.69353,4.23902,13.88287,14.3106,21.45451,8.10572,4.23597,-757.61707,91.54277,-586.3739,-922.2351,-776.60285,763.12758,335.8612,249.8858,153.2771,119.8842,141.04828,339.9721,-139.6398,131.2914,185.11304,335.8612,383.4565,253.1269,-425.32,0,-425.32,-425.32,-425.32,425.32,0,0,0
13.78156,4.40267,26.86239,3.89111,13.76385,14.46771,22.97128,10.87374,5.25529,-730.20484,76.08312,-586.3739,-931.4682,-730.8564,734.15785,345.0943,191.21456,120.125,116.02435,136.51838,339.6042,-153.8182,104.027,179.16171,345.0943,372.0655,227.2761,-427.01095,0.42161,-424.207,-427.12,-427.12,427.01116,2.913,0.38004,0
14.04136,4.72663,26.67012,3.90942,14.16059,14.81556,22.7607,11.02023,6.49434,-736.0253,91.6882,-557.378,-936.447,-737.3437,741.71421,379.069,259.9575,117.5872,129.99256,136.06566,372.4537,-153.754,150.6764,188.18058,379.069,355.4476,220.5584,-428.67053,0.46251,-426.007,-428.92,-428.92,428.67078,2.913,0.6,0.6
14.18548,4.6546,26.74337,3.83312,14.05682,14.92961,22.91024,10.97873,6.67745,-743.88455,109.2105,-557.4178,-936.3909,-734.4777,751.85847,378.9731,330.4408,164.9738,116.86996,152.28144,372.4537,-153.8248,83.4791,191.95892,378.9731,421.6576,243.3566,-430.31412,0.43748,-427.807,-430.72,-430.12,430.31435,2.913,0.6,0.6
14.17967,4.61534,26.86544,3.93689,13.72112,14.91188,22.92856,10.84018,5.56047,-733.97352,119.76743,-557.4032,-936.4291,-734.4372,743.68095,379.0259,333.6274,234.6506,118.71185,165.25046,372.4537,-153.8076,122.9062,203.47044,379.0259,448.10125,298.047,-431.97117,0.38404,-429.607,-432.52,-431.92,431.97135,2.913,0.6,0
14.05368,3.4113,23.54503,4.58693,13.95001,14.46177,18.9581,9.11588,4.6205,-746.75514,128.98279,-557.4173,-936.3909,-769.0533,757.81251,378.9736,331.75556,252.3293,121.44654,166.98547,372.4537,-139.6635,112.6237,206.47859,378.9736,437.36575,334.1862,-433.72,0,-433.72,-433.72,-433.72,433.72,0,0,0
13.92566,3.46044,24.27442,4.12915,13.67229,14.34917,20.14527,7.60826,3.82092,-753.32898,110.80958,-571.5909,-931.5279,-770.4903,761.43504,359.937,296.1448,206.93362,137.19307,162.20338,358.3398,-139.6644,157.1577,212.44264,359.937,427.0898,316.4413,-435.52,0,-435.52,-435.52,-435.52,435.52,0,0,0
14.27379,4.42425,26.70675,4.02539,14.0965,14.94373,22.68136,10.26948,5.9267,-745.3506,106.69793,-557.4941,-936.3354,-737.0077,752.94884,378.8413,323.0594,158.0961,115.3991,150.80242,372.4537,-153.7543,89.2634,189.89029,378.8413,421.56716,240.5409,-437.53389,0.42524,-435.007,-437.92,-437.32,437.53409,2.913,0.6,0.6
14.16426,4.7118,27.23777,3.83923,13.63262,14.9274,23.39854,10.8005,6.61336,-733.29001,120.08022,-557.4261,-936.3724,-734.0587,743.05686,378.9463,340.036,236.6893,124.49545,165.08573,372.4537,-153.7543,135.0905,206.76657,378.9463,453.9918,286.12282,-439.18255,0.35548,-436.807,-439.72,-439.12,439.1827,2.913,0.6,0
14.32768,4.49908,27.17978,3.86975,14.11481,15.01746,23.31004,10.37019,6.14948,-746.87951,105.90969,-557.3765,-936.4542,-737.123,754.35129,379.0777,322.05323,158.1552,111.88308,149.7754,372.4537,-153.7541,77.8668,186.95051,379.0777,421.0737,240.6922,-444.72422,0.45908,-442.207,-445.12,-444.52,444.72446,2.913,0.6,0.6
14.25198,4.63439,27.52159,3.93994,13.6906,14.98654,23.58165,10.84323,6.3509,-730.78757,118.9781,-557.4192,-936.455,-731.3277,740.40953,379.0358,337.5427,229.3826,126.53074,164.56134,372.4537,-153.8108,141.6846,207.58242,379.0358,449.1284,277.97985,-446.38596,0.37754,-444.007,-446.92,-446.32,446.38612,2.913,0.6,0
14.49759,3.94272,25.10453,4.74563,13.99579,15.02415,20.3589,10.17182,5.16678,-748.11339,129.74629,-557.4319,-936.4441,-769.305,759.28107,379.0122,338.4964,256.0281,117.86489,169.90866,372.4537,-153.7663,96.5751,206.78754,379.0122,438.8708,343.2483,-448.12,0,-448.12,-448.12,-448.12,448.12,0,0,0
14.29118,3.78266,26.56941,4.4435,14.14533,14.78331,22.12592,9.5584,4.95773,-757.93467,110.97808,-571.5909,-931.5279,-784.3158,766.01638,359.937,292.5791,216.2031,135.42831,161.93965,358.3647,-139.6601,151.4075,211.1049,359.937,429.7385,316.2906,-449.92,0,-449.92,-449.92,-449.92,449.92,0,0,0
14.2612,3.41574,26.3741,4.50453,13.83709,14.66455,21.86956,7.35191,3.88501,-733.61369,115.67885,-557.4905,-922.1547,-736.8212,742.67802,364.6642,302.8865,216.771,124.35791,155.19803,372.4537,-139.6625,123.9239,198.87513,364.6642,419.652,302.8812,-452.32,0,-452.32,-452.32,-452.32,452.32,0,0,0
14.65973,3.89299,26.99362,4.8677,14.57259,15.16782,22.12592,9.20133,4.43129,-757.69172,91.45909,-586.3739,-922.2078,-774.3664,763.19166,335.8339,251.4971,160.469,109.44183,145.21183,339.7475,-139.6649,96.3896,181.83506,335.8339,398.0699,264.9553,-454.12,0,-454.12,-454.12,-454.12,454.12,0,0,0
